iter	Accuracy	MultiClass
282	0.8366440927	0.4090395821
283	0.8366842352	0.4089731169
284	0.8367437054	0.4088309557
285	0.8367303246	0.4087039213
286	0.8367912817	0.408628809
287	0.8368002022	0.4085338593
288	0.836856699	0.4084542723
289	0.8369399573	0.4083867624
290	0.8369711792	0.4082347158
291	0.8370321362	0.408102849
292	0.8370588979	0.4080281355
293	0.8371421562	0.4079127685
294	0.8372269014	0.4078051291
295	0.8372774511	0.4076127988
296	0.8373919314	0.4074626891
297	0.8374067989	0.407403315
298	0.8374499149	0.4073444115
299	0.8375242527	0.407261059
